tripId;routeId;stop;patternText;direction;delay;time;date;weekday
8095261304186541838;8095257447305839175;403;139;Mydlniki;-129;18:35;2020-07-10;4
8095261304188307212;8095257447305839175;2533;139;Mydlniki;-310;18:35;2020-07-10;4
8095261304187188997;8095257447305839175;2533;139;Kombinat;-250;18:35;2020-07-10;4
8095261304189290252;8095257447305839175;122;139;Mydlniki;-190;18:35;2020-07-10;4
8095261304188307212;8095257447305839175;3459;139;Mydlniki;-71;18:35;2020-07-10;4
8095261304189290252;8095257447305839175;2531;139;Mydlniki;-133;18:35;2020-07-10;4
8095261304186545931;8095257447305839175;3113;139;Kombinat;-314;18:35;2020-07-10;4
8095261304189822731;8095257447305839175;388;139;Kombinat;-74;18:35;2020-07-10;4
8095261304187193101;8095257447305839175;2909;139;Kombinat;-316;18:35;2020-07-10;4
8095261304188839693;8095257447305839175;76;139;Kombinat;-136;18:35;2020-07-10;4
8095261304187193101;8095257447305839175;2524;139;Kombinat;-139;18:35;2020-07-10;4
8095261304186550022;8095257447305839175;1130;139;Mydlniki;-319;18:35;2020-07-10;4
8095261304187766538;8095257447305839175;85;139;Mydlniki;-320;18:35;2020-07-10;4
8095261304187193101;8095257447305839175;2908;139;Kombinat;-262;18:35;2020-07-10;4
8095261304188839693;8095257447305839175;71;139;Kombinat;-23;18:35;2020-07-10;4
8095261304189290252;8095257447305839175;71;139;Mydlniki;-23;18:35;2020-07-10;4
8095261304188299021;8095257447305839175;102;139;Kombinat;-324;18:35;2020-07-10;4
8095261304186545931;8095257447305839175;102;139;Kombinat;-204;18:35;2020-07-10;4
8095261304186541838;8095257447305839175;402;139;Mydlniki;-25;18:35;2020-07-10;4
8095261304186550022;8095257447305839175;108;139;Mydlniki;-205;18:35;2020-07-10;4
8095261304188299021;8095257447305839175;108;139;Kombinat;-85;18:35;2020-07-10;4
8095261304189822731;8095257447305839175;377;139;Kombinat;-266;18:35;2020-07-10;4
8095261304186550022;8095257447305839175;1004;139;Mydlniki;-148;18:35;2020-07-10;4
8095261304188299021;8095257447305839175;1004;139;Kombinat;-148;18:35;2020-07-10;4
8095261304188839693;8095257447305839175;79;139;Kombinat;-209;18:35;2020-07-10;4
8095261304187766538;8095257447305839175;2530;139;Mydlniki;-210;18:35;2020-07-10;4
8095261304187188997;8095257447305839175;2530;139;Kombinat;-150;18:35;2020-07-10;4
8095261304188299021;8095257447305839175;1066;139;Kombinat;-210;18:35;2020-07-10;4
8095261304186550022;8095257447305839175;1066;139;Mydlniki;-30;18:35;2020-07-10;4
8095261304189822731;8095257447305839175;2539;139;Kombinat;-31;18:35;2020-07-10;4
8095261304189822731;8095257447305839175;383;139;Kombinat;-211;18:35;2020-07-10;4
8095261304186550022;8095257447305839175;3138;139;Mydlniki;-93;18:35;2020-07-10;4
8095261304186541838;8095257447305839175;420;139;Mydlniki;-273;18:35;2020-07-10;4
8095261304189290252;8095257447305839175;3140;139;Mydlniki;-274;18:35;2020-07-10;4
8095261304187193101;8095257447305839175;5;139;Kombinat;-214;18:35;2020-07-10;4
8095261304188307212;8095257447305839175;137;139;Mydlniki;-156;18:35;2020-07-10;4
8095261304188299021;8095257447305839175;1130;139;Kombinat;2;18:35;2020-07-10;4
8095261304187188997;8095257447305839175;85;139;Kombinat;-58;18:36;2020-07-10;4
